,State,City,Year,Count,Mean_Severity,High Severity Count
354,AL,Chunchula,2020,5,2.6,3.0
355,AL,Chunchula,2021,23,2.4347826086956523,0.0
356,AL,Chunchula,2022,7,2.2857142857142856,0.0
357,AL,Citronelle,2017,1,2.0,0.0
358,AL,Citronelle,2018,9,2.0,0.0
359,AL,Citronelle,2019,12,2.0,0.0
360,AL,Citronelle,2020,7,2.0,0.0
361,AL,Citronelle,2021,6,2.0,0.0
362,AL,Citronelle,2022,8,2.5,0.0
363,AL,Clanton,2016,1,2.0,0.0
364,AL,Clanton,2017,65,2.5384615384615383,28.0
365,AL,Clanton,2018,397,2.3879093198992445,144.0
366,AL,Clanton,2019,343,2.303206997084548,94.0
367,AL,Clanton,2020,332,2.144578313253012,42.0
368,AL,Clanton,2021,374,2.1176470588235294,34.0
369,AL,Clanton,2022,289,2.017301038062284,13.0
370,AL,Clanton,2023,14,2.0,0.0
371,AL,Clayton,2019,3,2.0,0.0
372,AL,Clayton,2020,10,2.1,1.0
373,AL,Clayton,2021,3,2.0,0.0
374,AL,Clayton,2022,1,2.0,0.0
375,AL,Cleveland,2017,2,3.0,0.0
376,AL,Cleveland,2018,23,2.0,0.0
377,AL,Cleveland,2019,55,2.018181818181818,1.0
378,AL,Cleveland,2020,53,2.0,0.0
379,AL,Cleveland,2021,51,2.0,0.0
380,AL,Cleveland,2022,40,2.05,0.0
381,AL,Cleveland,2023,2,2.0,0.0
382,AL,Clio,2018,2,3.0,0.0
383,AL,Clio,2019,7,2.0,0.0
384,AL,Clio,2020,6,2.3333333333333335,2.0
385,AL,Clio,2021,1,2.0,0.0
386,AL,Clio,2022,1,2.0,0.0
387,AL,Clopton,2019,1,3.0,1.0
388,AL,Coaling,2019,1,2.0,0.0
389,AL,Coaling,2020,7,2.142857142857143,1.0
390,AL,Coaling,2021,7,2.0,0.0
391,AL,Coaling,2022,4,2.0,0.0
392,AL,Coaling,2023,1,2.0,0.0
393,AL,Coden,2018,4,2.0,0.0
394,AL,Coden,2019,6,2.3333333333333335,0.0
395,AL,Coden,2020,5,2.0,0.0
396,AL,Coden,2021,6,2.0,0.0
397,AL,Coden,2022,3,2.0,0.0
398,AL,Coffeeville,2019,1,4.0,0.0
399,AL,Coffeeville,2022,1,2.0,0.0
400,AL,Coker,2017,7,2.5714285714285716,2.0
401,AL,Coker,2018,21,2.0,0.0
402,AL,Coker,2019,16,2.0,0.0
403,AL,Coker,2020,15,2.0,0.0
404,AL,Coker,2021,34,2.0294117647058822,1.0
405,AL,Coker,2022,27,2.037037037037037,0.0
406,AL,Coker,2023,1,2.0,0.0
407,AL,Collinsville,2016,1,2.0,0.0
408,AL,Collinsville,2018,1,2.0,0.0
409,AL,Collinsville,2019,13,2.4615384615384617,6.0
410,AL,Collinsville,2020,11,2.3636363636363638,4.0
411,AL,Collinsville,2021,18,2.4444444444444446,8.0
412,AL,Collinsville,2022,16,2.3125,1.0
413,AL,Columbia,2019,6,2.0,0.0
414,AL,Columbia,2020,8,2.0,0.0
415,AL,Columbia,2021,2,2.0,0.0
416,AL,Columbia,2022,4,2.0,0.0
417,AL,Columbiana,2018,15,2.0,0.0
418,AL,Columbiana,2019,14,2.142857142857143,2.0
419,AL,Columbiana,2020,3,2.0,0.0
420,AL,Columbiana,2021,5,2.0,0.0
421,AL,Columbiana,2022,5,1.8,0.0
422,AL,Cordova,2017,3,2.6666666666666665,2.0
423,AL,Cordova,2018,4,3.0,4.0
424,AL,Cordova,2019,15,2.466666666666667,7.0
425,AL,Cordova,2020,21,2.238095238095238,5.0
426,AL,Cordova,2021,36,2.138888888888889,5.0
427,AL,Cordova,2022,15,2.2666666666666666,4.0
428,AL,Cottondale,2017,20,2.7,6.0
429,AL,Cottondale,2018,160,2.575,90.0
430,AL,Cottondale,2019,141,2.425531914893617,48.0
431,AL,Cottondale,2020,182,2.2142857142857144,33.0
432,AL,Cottondale,2021,179,2.1675977653631286,24.0
433,AL,Cottondale,2022,202,2.1683168316831685,28.0
